,timestamp,location_id,device_id,variable1,variable2,variable3,variable4,variable5
0,2020-07-01 00:09:57,10,4,2.25,0.083,0.228,0.147,54.5
1,2020-07-01 00:09:58,10,5,1.602,0.098,0.187,0.173,58.3
2,2020-07-01 00:10:01,10,1,1.501,0.039,0.123,0.127,52.49
3,2020-07-01 00:10:01,10,3,1.487,0.106,0.117,0.093,61.58
4,2020-07-01 00:10:06,10,2,1.532,0.079,0.171,0.143,61.41
5,2020-07-01 00:19:56,10,3,1.502,0.053,0.215,0.173,58.55
6,2020-07-01 00:19:57,10,5,1.347,0.099,0.128,0.163,53.18
7,2020-07-01 00:20:00,10,4,1.777,0.086,0.155,0.123,60.04
8,2020-07-01 00:20:05,10,2,1.231,0.102,0.189,0.1,54.59
9,2020-07-01 00:20:06,10,1,1.511,0.038,0.191,0.11,55.93
10,2020-07-01 00:29:52,10,5,1.144,0.031,0.122,0.143,55.98
11,2020-07-01 00:29:54,10,3,2.169,0.071,0.191,0.177,55.97
12,2020-07-01 00:29:59,10,4,2.258,0.075,0.2,0.2,54.06
13,2020-07-01 00:30:02,10,1,1.328,0.083,0.138,0.107,59.2
14,2020-07-01 00:30:05,10,2,1.7,0.083,0.188,0.15,57.51
15,2020-07-01 00:39:50,10,5,1.564,0.052,0.153,0.193,52.24
16,2020-07-01 00:39:58,10,3,1.699,0.085,0.18,0.177,53.92
17,2020-07-01 00:40:01,10,2,1.353,0.068,0.19,0.163,54.12
18,2020-07-01 00:40:01,10,4,2.13,0.079,0.147,0.137,55.21
19,2020-07-01 00:40:04,10,1,2.108,0.08,0.174,0.16,60.38
20,2020-07-01 00:49:51,10,5,1.809,0.075,0.122,0.173,54.72
21,2020-07-01 00:50:01,10,3,1.654,0.079,0.159,0.16,51.11
22,2020-07-01 00:50:04,10,4,2.128,0.044,0.129,0.117,60.66
23,2020-07-01 00:50:05,10,2,1.694,0.061,0.146,0.16,58.26
24,2020-07-01 00:50:05,10,1,2.011,0.052,0.209,0.17,59.15
25,2020-07-01 00:59:55,10,5,2.082,0.072,0.183,0.143,55.39
26,2020-07-01 01:00:01,10,2,1.96,0.078,0.135,0.177,59.59
27,2020-07-01 01:00:01,10,4,1.628,0.109,0.133,0.153,61.47
28,2020-07-01 01:00:02,10,1,1.581,0.078,0.141,0.15,61.47
29,2020-07-01 01:00:05,10,3,1.398,0.105,0.157,0.163,53.52
30,2020-07-01 01:09:59,10,2,2.154,0.057,0.173,0.083,60.2
31,2020-07-01 01:10:00,10,4,2.098,0.112,0.129,0.173,59.37
32,2020-07-01 01:10:00,10,5,1.84,0.106,0.222,0.133,59.87
33,2020-07-01 01:10:03,10,3,1.782,0.094,0.129,0.167,60.56
34,2020-07-01 01:10:05,10,1,1.897,0.106,0.186,0.08,57.9
35,2020-07-01 01:19:56,10,4,1.858,0.082,0.159,0.153,59.57
36,2020-07-01 01:20:00,10,3,1.9,0.108,0.187,0.133,52.3
37,2020-07-01 01:20:01,10,5,1.84,0.055,0.173,0.15,53.66
38,2020-07-01 01:20:03,10,2,1.292,0.089,0.144,0.113,52.24
39,2020-07-01 01:20:05,10,1,1.654,0.103,0.169,0.093,60.1
40,2020-07-01 01:29:55,10,4,1.756,0.072,0.205,0.153,53.15
